Using device: cuda
/export/scratch/aqsa-laiba_cv2proj/cv2_project_sol/Eye-fixation-prediction-main/predict_test.py:77: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_dir, map_location=device)
image-4134.png saved shape: (224, 224) min/max: 128 255
image-4135.png saved shape: (224, 224) min/max: 128 255
image-4136.png saved shape: (224, 224) min/max: 128 255
image-4137.png saved shape: (224, 224) min/max: 128 255
image-4138.png saved shape: (224, 224) min/max: 142 255
image-4139.png saved shape: (224, 224) min/max: 128 255
image-4140.png saved shape: (224, 224) min/max: 128 255
image-4141.png saved shape: (224, 224) min/max: 128 255
image-4142.png saved shape: (224, 224) min/max: 128 255
image-4143.png saved shape: (224, 224) min/max: 133 255
image-4144.png saved shape: (224, 224) min/max: 128 255
image-4145.png saved shape: (224, 224) min/max: 128 255
image-4146.png saved shape: (224, 224) min/max: 128 255
image-4147.png saved shape: (224, 224) min/max: 128 255
image-4148.png saved shape: (224, 224) min/max: 128 255
image-4149.png saved shape: (224, 224) min/max: 128 255
image-4150.png saved shape: (224, 224) min/max: 131 255
image-4151.png saved shape: (224, 224) min/max: 128 255
image-4152.png saved shape: (224, 224) min/max: 128 255
image-4153.png saved shape: (224, 224) min/max: 128 255
image-4154.png saved shape: (224, 224) min/max: 128 255
image-4155.png saved shape: (224, 224) min/max: 128 255
image-4156.png saved shape: (224, 224) min/max: 128 255
image-4157.png saved shape: (224, 224) min/max: 128 255
image-4158.png saved shape: (224, 224) min/max: 128 255
image-4159.png saved shape: (224, 224) min/max: 128 255
image-4160.png saved shape: (224, 224) min/max: 128 255
image-4161.png saved shape: (224, 224) min/max: 128 249
image-4162.png saved shape: (224, 224) min/max: 128 255
image-4163.png saved shape: (224, 224) min/max: 128 255
image-4164.png saved shape: (224, 224) min/max: 128 255
image-4165.png saved shape: (224, 224) min/max: 128 255
image-4166.png saved shape: (224, 224) min/max: 135 254
